date,city,temperature_celsius,humidity_percent,wind_speed_kmh,precipitation_mm,weather_condition,pressure_hpa,visibility_km,uv_index
2024-02-01,Chicago,-4.2,83,23.0,3.0,Snow,1021.0,4.0,1
2024-02-01,Houston,13.5,70,13.0,0.8,Cloudy,1015.8,16.0,2
2024-02-01,Phoenix,16.5,32,11.0,0.0,Sunny,1014.0,36.0,4
2024-03-01,New York,8.0,68,12.5,0.0,Partly Cloudy,1018.0,15.0,3
2024-03-01,Los Angeles,20.5,42,6.0,0.0,Sunny,1015.8,28.0,5
2024-03-01,Chicago,5.2,70,15.0,0.0,Partly Cloudy,1018.0,12.0,2
2024-03-01,Houston,20.0,60,9.0,0.0,Sunny,1017.5,25.0,4
2024-03-01,Phoenix,24.5,22,8.0,0.0,Sunny,1013.0,45.0,7
2024-04-01,New York,14.2,65,10.0,2.5,Rain,1014.5,12.0,4
2024-04-01,Los Angeles,23.8,38,5.5,0.0,Sunny,1016.0,32.0,6
2024-04-01,Chicago,12.0,68,12.0,0.0,Partly Cloudy,1017.5,15.0,4
2024-04-01,Houston,25.5,58,8.5,0.0,Sunny,1016.0,28.0,5
2024-04-01,Phoenix,30.2,18,9.0,0.0,Sunny,1012.0,50.0,8
2024-05-01,New York,18.5,60,9.5,0.0,Sunny,1017.0,22.0,5
2024-05-01,Los Angeles,26.2,35,5.0,0.0,Sunny,1015.5,35.0,7
2024-05-01,Chicago,17.5,62,11.0,0.0,Partly Cloudy,1017.0,18.0,5
2024-05-01,Houston,28.8,55,8.0,0.0,Sunny,1015.5,30.0,6
2024-05-01,Phoenix,36.5,15,7.5,0.0,Sunny,1010.5,55.0,9
2024-06-01,New York,23.5,58,8.0,0.0,Sunny,1016.5,25.0,6
2024-06-01,Los Angeles,28.5,32,4.5,0.0,Sunny,1014.5,38.0,8
2024-06-01,Chicago,22.0,58,10.0,0.0,Sunny,1016.5,20.0,6
2024-06-01,Houston,32.5,65,7.5,5.0,Thunderstorm,1014.0,15.0,7
2024-06-01,Phoenix,42.0,12,8.0,0.0,Sunny,1009.0,60.0,11
2024-07-01,New York,28.2,65,7.5,8.5,Thunderstorm,1014.0,12.0,7
2024-07-01,Los Angeles,30.5,30,4.0,0.0,Sunny,1013.5,40.0,9
2024-07-01,Chicago,26.8,62,9.5,12.0,Thunderstorm,1013.5,10.0,7
2024-07-01,Houston,35.5,72,6.5,15.0,Heavy Rain,1012.5,8.0,8
2024-07-01,Phoenix,44.5,14,7.0,0.0,Sunny,1007.5,65.0,11
2024-08-01,New York,27.5,68,8.0,5.0,Partly Cloudy,1015.0,18.0,7
2024-08-01,Los Angeles,31.2,28,3.5,0.0,Sunny,1013.0,42.0,9
2024-08-01,Chicago,25.5,65,10.0,3.5,Thunderstorm,1014.0,14.0,7
2024-08-01,Houston,34.8,70,7.0,8.0,Thunderstorm,1013.0,10.0,8
2024-08-01,Phoenix,43.0,18,6.5,2.5,Sunny,1008.0,58.0,10
2024-09-01,New York,22.5,62,10.0,2.0,Partly Cloudy,1016.5,20.0,5
2024-09-01,Los Angeles,28.8,32,5.0,0.0,Sunny,1014.0,35.0,7
2024-09-01,Chicago,20.2,60,11.5,0.0,Sunny,1016.0,22.0,5
2024-09-01,Houston,30.2,65,8.0,4.5,Partly Cloudy,1015.0,20.0,6
2024-09-01,Phoenix,38.5,20,7.5,0.0,Sunny,1010.0,55.0,9
2024-10-01,New York,16.8,65,12.0,0.0,Partly Cloudy,1018.0,18.0,4
2024-10-01,Los Angeles,24.5,38,6.5,0.0,Sunny,1015.5,30.0,5
2024-10-01,Chicago,13.5,65,13.5,0.0,Partly Cloudy,1017.5,15.0,3
2024-10-01,Houston,24.8,60,9.5,0.0,Sunny,1016.5,25.0,5
2024-10-01,Phoenix,32.0,22,8.0,0.0,Sunny,1012.5,48.0,7
2024-11-01,New York,10.2,70,14.0,3.5,Rain,1016.0,12.0,2
2024-11-01,Los Angeles,20.2,45,7.5,0.0,Sunny,1015.0,28.0,4
2024-11-01,Chicago,5.8,72,16.0,0.5,Partly Cloudy,1018.5,13.0,2
2024-11-01,Houston,18.5,62,11.0,0.0,Partly Cloudy,1017.0,22.0,3
2024-11-01,Phoenix,22.5,28,9.0,0.0,Sunny,1013.5,40.0,5
2024-12-01,New York,4.2,78,18.0,4.8,Rain,1014.5,8.0,1
2024-12-01,Los Angeles,16.8,48,8.0,1.5,Partly Cloudy,1014.8,22.0,3
2024-12-01,Chicago,-2.5,80,20.0,2.5,Snow,1020.5,6.0,1
2024-12-01,Houston,12.8,68,12.5,2.0,Cloudy,1016.0,16.0,2
2024-12-01,Phoenix,14.5,35,10.5,0.0,Sunny,1014.5,35.0,3
